description	التصنيف
ترميم عمودين امام الفرع	دهانات وترميمات
ترميم وإصلاح سطح الكاونتر الخشبي	نجارة وأثاث
ترميمات دهانات للفرع بالكامل	دهانات وترميمات
تثبيت درف الوحدات+ وصيانة المفصلات	نجارة وأثاث
فحص ومراجعة الكهرباء وضبط الجهد 220 فولت	كهرباء وإضاءة
تنظيف إضاءة ليد واجهة الرخام	كهرباء وإضاءة
دهان الفرع بالكامل (سيلر+مرامات)	دهانات وترميمات
دهان الفرع بالكامل طبقة نظافة نهائية	دهانات وترميمات
أعمال دهان واجهة الفرع طبقة نظافة نهائية	دهانات وترميمات
دهان الوحدات الخشب بالون الاسود	نجارة وأثاث
دهان للاسقف وحوائط الفرع بالكامل	دهانات وترميمات
دهانات متنوعه بالفرع خشب وحوائط	نجارة وأثاث
صيانة إضاءة ليد منطقة الكاشير	كهرباء وإضاءة
صيانة إضاءة ليد منطقة الوارمر	كهرباء وإضاءة
صيانة شبكة السباكة والصرف الصحي	سباكة ومياه
صيانة وإصلاح لافتة الفرع الخارجية	لافتات وعلامات
صيانة وإصلاح باب الفرع الرئيسي	أبواب ونوافذ
صيانة وإصلاح باب المخزن	أبواب ونوافذ
صيانة درف وحدات الكاشير	نجارة وأثاث
صيانة شبكة السباكة ومراجعة على الوصلات وعمل ما يلزم	سباكة ومياه
صيانة للكهرباء العمومي للفرع	كهرباء وإضاءة
توريد وتركيب قرصة خشب بقشاط خشب الصنوبر (0.75*0.75)	نجارة وأثاث
توريد وتركيب خلاط مياه سخن وبارد إيطالي	سباكة ومياه
توريد وتركيب صرف حوض كامل مع الملحقات	سباكة ومياه
توريد وتركيب طقم جرار عجل لدرف وحدات الكاونتر	نجارة وأثاث
توريد وتركيب طقم عجل ترولي ومراجعة علي لحامات الترولي	ترولي ومعدات
صيانة ومراجعة لأبواب الدور الثاني قسم الموارد البشرية	صيانة عامة
صيانة فلتر مياه متعدد المراحل	سباكة ومياه
فك وإعادة تركيب البارسته مع تعديل الصرف والكهرباء	كهرباء وإضاءة
لحام الوزرة الرخامية العلوية بوحدة الحوض وتثبيت راف رخام	سباكة ومياه
صيانة وتغيير عبوة الفلتر	سباكة ومياه
توريد مستلزمات الكهرباء لقسم الصيانة بمصنع العاشر	صيانة عامة
أعمال صيانات الوحدات الخشبية	نجارة وأثاث
أعمال صيانات موصلات الكهرباء	كهرباء وإضاءة
توريد وتغيير شريط اسود للوحدات الخشبية	نجارة وأثاث
صيانة وإصلاح مقبض باب الثلاجة	أبواب ونوافذ
لحام وتثبيت قطع الرخام والوزرة الرخامية	رخام وأرضيات
فحص ومراجعة شبكة السباكة بالكامل	سباكة ومياه
فحص ومراجعة الكهرباء وضبط الجهد 225 فولت	كهرباء وإضاءة
تثبيت القاعدة السيراميك وعمل ما يلزم	صيانة عامة
تثبيت ولصق قطع الرخام بالسيليكون	رخام وأرضيات
توريد وتركيب تجليد خشبي بطول 18 متر	كهرباء وإضاءة
توريد وتركيب خشب مجرى 10 سم × 10 متر	نجارة وأثاث
توريد وتركيب لمبة ليد 12 وات مع الدواية	كهرباء وإضاءة
توريد وتركيب 8 قطع زجاج تجليد ديكوري 120×20	كهرباء وإضاءة
